WMO,CYCLE_NUMBER,Category,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME
6903273,202,3,220,65.763,0.455,2021-01-12
6903273,88,1,220,64.371,-2.503,2017-10-24
6903273,85,1,220,64.602,-2.927,2017-09-23
6903273,90,1,260,63.98,-3.124,2017-11-15
6903273,121,1,220,65.852,1.91,2018-10-02
6903273,84,1,220,64.711,-3.021,2017-09-13
6903273,86,0,300,64.475,-2.192,2017-10-03
6903273,89,1,220,64.1,-2.659,2017-11-04
6903273,92,1,260,64.169,-2.45,2017-12-06
6903273,219,2,380,68.542,2.702,2021-07-09
5904105,23,1,300,-64.855,149.358,2013-06-24
5904105,31,1,340,-64.762,148.351,2013-08-04
5904105,20,1,340,-64.89,149.735,2013-06-09
5904105,99,1,220,-65.283,149.312,2014-10-08
5905373,131,0,260,-52.519,-155.086,2021-08-28
5905373,135,1,380,-54.155,-152.629,2021-10-07
5905373,130,1,300,-52.621,-157.206,2021-08-18
5905373,64,1,260,-60.198,170.956,2019-10-23
5905373,139,1,300,-54.43,-151.045,2021-11-17
5905376,29,1,460,-58.245,176.281,2018-10-31
5905376,74,1,500,-52.367,-171.881,2020-01-26
5905376,18,2,420,-57.703,168.763,2018-07-12
1902457,14,0,220,7.3343,67.4861,2023-10-11
6901004,110,1,620,-46.55067,116.96012,2016-01-01
6901004,331,1,300,-61.727285,174.04266166666667,2017-12-05
6901004,168,0,220,-53.33117,152.24762666666666,2016-08-28
6901004,128,1,540,-48.280591666666666,126.32830833333334,2016-03-07
6901004,245,1,420,-59.432808333333334,163.60920333333334,2017-02-21
6901004,200,1,260,-55.368408333333335,161.65389166666668,2016-11-23
6901004,224,1,380,-57.31872833333333,164.37534,2017-01-10
6901004,133,1,540,-48.355061666666664,131.38793,2016-03-27
6901004,184,1,500,-56.531605,155.52907833333333,2016-10-22
6901004,333,1,420,-61.864873333333335,173.75503,2017-12-09
6901004,190,1,420,-55.396345,160.18601666666666,2016-11-03
6901004,260,1,260,-59.48004,166.363805,2017-04-14
6901004,111,1,620,-46.55786833333333,117.02034833333332,2016-01-03
6901521,27,1,260,59.114531666666664,-50.463435,2013-07-10
5906500,20,1,340,-36.486,28.771,2022-09-19
5904660,27,1,420,-57.853,-47.933,2016-10-03
5904660,28,1,420,-58.75,-47.48,2016-10-13
5904660,60,1,540,-56.028,-39.787,2017-09-11
5904660,74,1,740,-54.111,-41.158,2018-02-02
5906314,53,1,260,-61.0729,-93.3478,2024-05-12
5906314,65,1,380,-61.4033,-78.9492,2024-09-12
5906314,32,1,300,-59.737,-95.1947,2023-10-08
5906314,62,1,340,-61.1904,-81.1444,2024-08-13
5906314,31,1,260,-59.0594,-96.888,2023-09-28
5906314,5,1,260,-62.655,-103.433,2023-01-03
5906314,25,1,260,-60.979,-96.6814,2023-07-28
5906524,10,1,500,-43.123,31.588,2022-08-20
6901486,235,1,380,59.990233333333336,-54.057075,2016-02-14
6901486,7,1,300,63.177191666666666,-30.716036666666668,2013-06-23
6901486,247,1,580,58.548741666666665,-51.08840166666667,2016-04-08
6901486,307,1,380,58.965961666666665,-53.81767833333333,2017-01-31
6901486,115,1,420,56.204195,-49.657363333333336,2015-02-21
6901486,327,1,300,56.490813333333335,-53.778135,2017-04-28
6901486,255,1,580,59.49478,-50.15504166666667,2016-05-02
6901486,128,1,220,58.615898333333334,-54.18498666666667,2015-04-15
6901768,206,1,380,37.08042833333333,16.023803333333333,2018-05-19
6901583,198,1,340,-47.059668333333335,102.00996333333332,2017-10-07
6901583,190,1,220,-47.546751666666665,98.52666333333332,2017-09-01
6901583,123,1,340,-49.359625,85.21009166666667,2016-11-25
6901583,103,1,220,-44.07412333333333,75.71368333333334,2016-09-22
6901583,160,1,580,-47.769245,91.40935333333331,2017-02-21
6901583,159,1,540,-47.89245833333333,91.54891333333332,2017-02-19
6902733,60,1,460,42.48829833333333,8.34903,2017-05-19
6901582,142,1,220,-40.69706333333333,11.178436666666666,2016-10-20
6901582,184,0,340,-38.55023833333333,10.425263333333334,2017-01-28
5904677,8,2,380,-51.257,147.741,2016-05-07
5904677,27,1,300,-58.08,167.212,2016-11-15
5904677,23,0,260,-55.65,158.622,2016-10-05
5904677,25,1,380,-55.7,163.128,2016-10-25
5904471,103,1,340,-64.838,6.405,2017-11-07
5904763,24,1,540,-51.91,-143.575,2017-01-10
5904763,11,1,420,-50.733,-159.67,2016-08-30
5904856,43,1,820,-59,-47.148,2018-02-26
5904856,32,1,300,-58.686,-51.582,2017-11-08
5904856,46,1,900,-58.797,-42.27,2018-03-28
5905374,22,1,740,-64.11883325787888,138.66268696852586,2018-08-29
5906511,61,0,380,37.144,161.622,2024-01-19
5906511,35,1,460,36.3033,162.0138,2023-04-24
