depth,longitude,latitude,fseq,depth_meters
0,6,78,,4.93454087
0,6,79,0.0,4.93454087
0,6,80,0.0,4.93454087
0,6,81,0.0,4.93454087
0,6,82,0.0,4.93454087
0,6,83,0.0,4.93454087
0,6,84,0.0,4.93454087
0,6,85,,4.93454087
0,6,86,0.0,4.93454087
0,6,87,0.0,4.93454087
0,6,88,0.0,4.93454087
0,6,89,0.0,4.93454087
0,6,90,,4.93454087
0,7,0,,4.93454087
0,7,1,,4.93454087
0,7,2,,4.93454087
0,7,3,,4.93454087
0,7,4,,4.93454087
0,7,5,,4.93454087
0,7,6,,4.93454087
0,7,7,,4.93454087
0,7,8,,4.93454087
0,7,9,,4.93454087
0,7,10,0.0,4.93454087
0,7,11,0.0,4.93454087
0,7,12,0.0,4.93454087
0,7,13,0.0,4.93454087
0,7,14,0.0,4.93454087
0,7,15,0.0,4.93454087
0,7,16,0.0,4.93454087
0,7,17,0.0,4.93454087
0,7,18,0.0,4.93454087
0,7,19,0.0,4.93454087
0,7,20,0.0,4.93454087
0,7,21,0.0,4.93454087
0,7,22,0.0,4.93454087
0,7,23,0.0,4.93454087
0,7,24,0.0,4.93454087
0,7,25,0.0,4.93454087
0,7,26,0.0,4.93454087
0,7,27,0.0,4.93454087
0,7,28,0.0,4.93454087
0,7,29,0.0,4.93454087
0,7,30,0.0,4.93454087
0,7,31,0.0,4.93454087
0,7,32,,4.93454087
0,7,33,,4.93454087
0,7,34,,4.93454087
0,7,35,,4.93454087
0,7,36,,4.93454087
0,7,37,,4.93454087
0,7,38,,4.93454087
0,7,39,,4.93454087
0,7,40,,4.93454087
0,7,41,,4.93454087
0,7,42,,4.93454087
0,7,43,,4.93454087
0,7,44,,4.93454087
0,7,45,,4.93454087
0,7,46,,4.93454087
0,7,47,,4.93454087
0,7,48,,4.93454087
0,7,49,,4.93454087
0,7,50,,4.93454087
0,7,51,,4.93454087
0,7,52,,4.93454087
0,7,53,,4.93454087
0,7,54,,4.93454087
0,7,55,,4.93454087
0,7,56,,4.93454087
0,7,57,,4.93454087
0,7,58,,4.93454087
0,7,59,,4.93454087
0,7,60,,4.93454087
0,7,61,,4.93454087
0,7,62,0.0,4.93454087
0,7,63,0.0,4.93454087
0,7,64,,4.93454087
0,7,65,,4.93454087
0,7,66,,4.93454087
0,7,67,,4.93454087
0,7,68,,4.93454087
0,7,69,,4.93454087
0,7,70,,4.93454087
0,7,71,,4.93454087
0,7,72,,4.93454087
0,7,73,,4.93454087
0,7,74,,4.93454087
0,7,75,,4.93454087
0,7,76,,4.93454087
0,7,77,,4.93454087
0,7,78,,4.93454087
0,7,79,,4.93454087
0,7,80,0.0,4.93454087
0,7,81,0.0,4.93454087
0,7,82,0.0,4.93454087
0,7,83,0.0,4.93454087
0,7,84,0.0,4.93454087
0,7,85,,4.93454087
0,7,86,0.0,4.93454087
0,7,87,0.0,4.93454087
0,7,88,0.0,4.93454087
0,7,89,0.0,4.93454087
0,7,90,,4.93454087
0,8,0,,4.93454087
0,8,1,,4.93454087
0,8,2,,4.93454087
0,8,3,,4.93454087
0,8,4,,4.93454087
0,8,5,,4.93454087
0,8,6,,4.93454087
0,8,7,,4.93454087
0,8,8,,4.93454087
0,8,9,,4.93454087
0,8,10,0.0,4.93454087
0,8,11,0.0,4.93454087
0,8,12,0.0,4.93454087
0,8,13,0.0,4.93454087
0,8,14,0.0,4.93454087
0,8,15,0.0,4.93454087
0,8,16,0.0,4.93454087
0,8,17,0.0,4.93454087
0,8,18,0.0,4.93454087
0,8,19,0.0,4.93454087
0,8,20,0.0,4.93454087
0,8,21,0.0,4.93454087
0,8,22,0.0,4.93454087
0,8,23,0.0,4.93454087
0,8,24,0.0,4.93454087
0,8,25,0.0,4.93454087
0,8,26,0.0,4.93454087
0,8,27,0.0,4.93454087
0,8,28,0.0,4.93454087
0,8,29,0.0,4.93454087
0,8,30,0.0,4.93454087
0,8,31,,4.93454087
0,8,32,,4.93454087
0,8,33,,4.93454087
0,8,34,,4.93454087
0,8,35,,4.93454087
0,8,36,,4.93454087
0,8,37,,4.93454087
0,8,38,,4.93454087
0,8,39,,4.93454087
0,8,40,,4.93454087
0,8,41,,4.93454087
0,8,42,,4.93454087
0,8,43,,4.93454087
0,8,44,,4.93454087
0,8,45,,4.93454087
0,8,46,,4.93454087
0,8,47,,4.93454087
0,8,48,,4.93454087
0,8,49,,4.93454087
0,8,50,,4.93454087
0,8,51,,4.93454087
0,8,52,,4.93454087
0,8,53,,4.93454087
0,8,54,,4.93454087
0,8,55,,4.93454087
0,8,56,,4.93454087
0,8,57,,4.93454087
0,8,58,,4.93454087
0,8,59,,4.93454087
0,8,60,,4.93454087
0,8,61,0.0,4.93454087
0,8,62,0.0,4.93454087
0,8,63,0.0,4.93454087
0,8,64,0.0,4.93454087
0,8,65,0.0,4.93454087
0,8,66,0.0,4.93454087
0,8,67,,4.93454087
0,8,68,,4.93454087
0,8,69,,4.93454087
0,8,70,,4.93454087
0,8,71,,4.93454087
0,8,72,,4.93454087
0,8,73,,4.93454087
0,8,74,,4.93454087
0,8,75,,4.93454087
0,8,76,,4.93454087
0,8,77,,4.93454087
0,8,78,,4.93454087
0,8,79,,4.93454087
0,8,80,0.0,4.93454087
0,8,81,0.0,4.93454087
0,8,82,0.0,4.93454087
0,8,83,0.0,4.93454087
0,8,84,,4.93454087
0,8,85,,4.93454087
0,8,86,0.0,4.93454087
0,8,87,0.0,4.93454087
0,8,88,0.0,4.93454087
0,8,89,0.0,4.93454087
0,8,90,,4.93454087
0,9,0,,4.93454087
0,9,1,,4.93454087
0,9,2,,4.93454087
0,9,3,,4.93454087
0,9,4,,4.93454087
0,9,5,,4.93454087
0,9,6,,4.93454087
0,9,7,,4.93454087
0,9,8,,4.93454087
0,9,9,,4.93454087
0,9,10,0.0,4.93454087
0,9,11,0.0,4.93454087
0,9,12,0.0,4.93454087
0,9,13,0.0,4.93454087
0,9,14,0.0,4.93454087
0,9,15,0.0,4.93454087
0,9,16,0.0,4.93454087
0,9,17,0.0,4.93454087
0,9,18,0.0,4.93454087
0,9,19,0.0,4.93454087
0,9,20,0.0,4.93454087
0,9,21,0.0,4.93454087
0,9,22,0.0,4.93454087
0,9,23,0.0,4.93454087
0,9,24,0.0,4.93454087
0,9,25,0.0,4.93454087
0,9,26,0.0,4.93454087
0,9,27,0.0,4.93454087
0,9,28,,4.93454087
0,9,29,,4.93454087
0,9,30,,4.93454087
0,9,31,,4.93454087
0,9,32,,4.93454087
0,9,33,,4.93454087
0,9,34,,4.93454087
0,9,35,,4.93454087
0,9,36,,4.93454087
0,9,37,,4.93454087
0,9,38,,4.93454087
0,9,39,,4.93454087
0,9,40,,4.93454087
0,9,41,,4.93454087
0,9,42,,4.93454087
0,9,43,,4.93454087
0,9,44,,4.93454087
0,9,45,,4.93454087
0,9,46,,4.93454087
0,9,47,,4.93454087
0,9,48,,4.93454087
0,9,49,,4.93454087
0,9,50,,4.93454087
0,9,51,,4.93454087
0,9,52,,4.93454087
0,9,53,,4.93454087
0,9,54,,4.93454087
0,9,55,,4.93454087
0,9,56,,4.93454087
0,9,57,,4.93454087
0,9,58,,4.93454087
0,9,59,,4.93454087
0,9,60,,4.93454087
0,9,61,0.0,4.93454087
0,9,62,0.0,4.93454087
0,9,63,0.0,4.93454087
0,9,64,0.0,4.93454087
0,9,65,0.0,4.93454087
0,9,66,0.0,4.93454087
0,9,67,,4.93454087
0,9,68,,4.93454087
0,9,69,,4.93454087
0,9,70,,4.93454087
0,9,71,,4.93454087
0,9,72,,4.93454087
0,9,73,,4.93454087
0,9,74,,4.93454087
0,9,75,,4.93454087
0,9,76,,4.93454087
0,9,77,,4.93454087
0,9,78,,4.93454087
0,9,79,,4.93454087
0,9,80,,4.93454087
0,9,81,0.0,4.93454087
0,9,82,0.0,4.93454087
0,9,83,0.0,4.93454087
0,9,84,0.0,4.93454087
0,9,85,0.0,4.93454087
0,9,86,0.0,4.93454087
0,9,87,0.0,4.93454087
0,9,88,0.0,4.93454087
0,9,89,0.0,4.93454087
0,9,90,,4.93454087
0,10,0,,4.93454087
0,10,1,,4.93454087
0,10,2,,4.93454087
0,10,3,,4.93454087
0,10,4,,4.93454087
0,10,5,,4.93454087
0,10,6,,4.93454087
0,10,7,,4.93454087
0,10,8,,4.93454087
0,10,9,,4.93454087
0,10,10,0.0,4.93454087
0,10,11,0.0,4.93454087
0,10,12,0.0,4.93454087
0,10,13,0.0,4.93454087
0,10,14,0.0,4.93454087
0,10,15,0.0,4.93454087
0,10,16,0.0,4.93454087
0,10,17,0.0,4.93454087
0,10,18,0.0,4.93454087
0,10,19,0.0,4.93454087
0,10,20,0.0,4.93454087
0,10,21,0.0,4.93454087
0,10,22,0.0,4.93454087
0,10,23,0.0,4.93454087
0,10,24,0.0,4.93454087
0,10,25,0.0,4.93454087
0,10,26,0.0,4.93454087
0,10,27,0.0,4.93454087
0,10,28,,4.93454087
0,10,29,,4.93454087
0,10,30,,4.93454087
0,10,31,,4.93454087
0,10,32,,4.93454087
0,10,33,,4.93454087
0,10,34,,4.93454087
0,10,35,,4.93454087
0,10,36,,4.93454087
0,10,37,,4.93454087
0,10,38,,4.93454087
0,10,39,,4.93454087
0,10,40,,4.93454087
0,10,41,,4.93454087
0,10,42,,4.93454087
0,10,43,,4.93454087
